product_id,name,category,brand,price,tags
P001,Running Shoes Alpha,Running,Nike,4999,"running,shoes,men,road"
P002,Running Shoes Pro,Running,Adidas,5999,"running,shoes,men,road"
P003,Trail Running Shoes,Running,Salomon,7499,"running,shoes,trail,outdoor"
P004,Running Watch,Electronics,Garmin,15999,"running,watch,gps,fitness"
P005,Sports Smartwatch,Electronics,Amazfit,8999,"watch,gps,fitness,smart"
P006,Heart Rate Monitor,Electronics,Polar,6999,"heart-rate,fitness,running"
P007,Performance Running Socks,Accessories,Asics,999,"socks,running,comfort"
P008,Energy Gel Pack,Nutrition,Fast&Up,699,"energy,running,nutrition"
P009,Hydration Bottle,Accessories,Decathlon,799,"hydration,running,fitness"
P010,Running Cap,Accessories,Nike,1299,"cap,running,outdoor"
P011,Training T-Shirt,Apparel,Adidas,1799,"tshirt,running,training"
P012,Compression Shorts,Apparel,2XU,2999,"shorts,running,training"
P013,Recovery Foam Roller,Recovery,Decathlon,1499,"recovery,fitness,training"
P014,Muscle Recovery Gun,Recovery,BoomFit,7999,"recovery,fitness,massage"
P015,Running Jacket,Apparel,Asics,4499,"jacket,running,outdoor"
